,目录,拼音
96,阿里,a
107,AI,ai
131,AIAS模式,aias
133,AIASA闭环模式,aiasa
62,奥利奥,ao
87,ASMP广告系统,asmp
52,B站,b
150,百度,bai
102,百度,bai
104,百度好看,bai
53,哔哩哔哩,bi
5,博客,bo
137,C2B,c2b
181,产品,chan
172,成本结构,cheng
158,创新,chuang
146,促销,cu
58,大白兔周边,da
57,大白兔唇膏,da
55,大白兔奶糖,da
29,大众点评,da
46,大数据,da
54,弹幕视频网站,dan
83,第三方,di
108,电商导流,dian
40,斗鱼,dou
14,斗鱼,dou
43,豆瓣,dou
12,抖音,dou
110,短视频产业链,duan
1,短视频,duan
142,多频道网络,duo
118,二次元,er
144,二更,er
155,二维码,er
33,Facebook,facebook
120,泛娱乐,fan
130,泛社交,fan
119,泛二次元,fan
187,分成模式,fen
79,粉丝,fen
182,服务,fu
60,服务,fu
61,沟通,gou
128,关系链,guan
177,关键业务合作伙伴,guan
175,关键资源,guan
170,关键流程,guan
169,关键资源,guan
184,广告模式,guang
145,广告,guang
89,广告主,guang
91,广告代理商,guang
135,海外购物攻略,hai
41,虎扑,hu
30,虎扑,hu
166,画布理论,hua
188,会员收费模式,hui
125,会员制社交电商,hui
23,婚恋交友,hun
98,火山小视频,huo
28,Instagram,instagram
56,IP,ip
86,极链科技,ji
7,即时通讯,ji
165,价值获取,jia
164,价值传递,jia
163,价值传播,jia
162,价值创造,jia
161,价值主张,jia
160,价值理论,jia
90,精准投放,jing
92,卡思数据,ka
167,客户价值主张,ke
148,可口可乐,ke
174,客户关系,ke
59,客户维护,ke
73,KOL,kol
138,口碑,kou
94,快手,kuai
77,李佳琦,li
149,李宁,li
32,Line,line
47,流量,liu
127,流量池,liu
159,路径,lu
140,买家,mai
141,卖家,mai
66,MCN,mcn
95,美图,mei
183,免费模式,mian
97,秒拍,miao
15,陌陌,mo
34,陌陌,mo
21,陌生人社交,mo
26,脉脉,mo
67,摩卡视频,mo
9,陌生人社交,mo
65,MSNs,msns
179,目标客户,mu
19,母婴社交,mu
69,内容创造者,nei
109,内容付费,nei
111,内容方,nei
129,内容链,nei
122,内容类社交电商,nei
68,内容,nei
10,内容社交,nei
176,能力,neng
24,Nice,nice
49,OPPO,oppo
143,Papaitube,papaitube
71,PGC,pgc
136,拼多多,pin
121,拼购/拼团类,pin
147,品牌传播,pin
117,平台布局,ping
72,PUGC,pugc
178,企业定位,qi
44,QQ,qq
132,人货场,ren
123,S2B2C模式,s2b2c
22,商务社交,shang
156,商业模式,shang
157,商业模式要素,shang
126,社区团购,she
11,社区内社交,she
124,社区团购,she
75,社交电商,she
3,社交平台,she
2,社交媒体,she
115,视频博客,shi
180,市场,shi
113,视频日志,shi
171,收入模式,shou
8,熟人社交,shu
88,思念,si
153,搜狐,sou
35,Soul,soul
16,探探,tan
82,淘宝,tao
151,腾讯,teng
17,同性社交,tong
99,头条,tou
27,TT语音,tt
103,土豆视频,tu
20,图片社交,tu
36,Twitter,twitter
70,UGC,ugc
114,video blog,video blog
112,video log,video log
85,Video++,video++
93,Vine,vine
50,Vivo,vivo
51,Vlog,vlog
116,Vlogger,vlogger
106,网络游戏,wang
101,网易,wang
76,网红电商,wang
63,网红,wang
4,微博,wei
78,薇娅,wei
6,微信,wei
84,微盟,wei
64,西门子,xi
100,西瓜视频,xi
154,小程序,xiao
18,校园社交,xiao
134,小红书,xiao
38,新浪微博,xin
152,新浪,xin
0,移动社交网,yi
139,引流,yin
39,音遇,yin
13,音遇,yin
168,盈利模式,ying
173,营销渠道,ying
186,营销推广模式,ying
48,用户,yong
37,YouTube,youtube
185,增值服务模式,zeng
80,粘性,zhan
105,长视频,zhang
31,珍爱网,zhen
45,整合营销,zheng
74,直播,zhi
42,知乎,zhi
81,忠诚度,zhong
25,综合类社交,zong
