name,description,address
Data Structures and Algorithms with Object-Oriented Design Patterns in Python ,The primary goal of this book is to promote object-oriented design using Python and to illustrate the use of the emerging object-oriented design patterns.A secondary goal of the book is to present mathematical tools just in time. Analysis techniques and proofs are presented as needed and in the proper context.,http://www.brpreiss.com/books/opus7/html/book.html
Dive Into Python 3 ,"By Mark Pilgrim, Guide to Python 3  and its differences from Python 2. Each chapter starts with a real code sample and explains it fully. Has a comprehensive appendix of all the syntactic and semantic changes in Python 3",http://www.diveintopython.net/
Foundations of Python Network Programming ,"This book covers a wide range of topics. From raw TCP and UDP to encryption with TSL, and then to HTTP, SMTP, POP, IMAP, and ssh. It gives you a good understanding of each field and how to do everything on the network with Python.",http://rhodesmill.org/brandon/2011/foundations-of-python-network-programming/
Free Python books ,Free Python books and tutorials.,http://www.techbooksforfree.com/perlpython.shtml
FreeTechBooks: Python Scripting Language ,Annotated list of free online books on Python scripting language. Topics range from beginner to advanced.,http://www.freetechbooks.com/python-f6.html
How to Think Like a Computer Scientist: Learning with Python ,"By Allen B. Downey, Jeffrey Elkner, Chris Meyers; Green Tea Press, 2002, ISBN 0971677506. Teaches general principles of programming, via Python as subject language. Thorough, in-depth approach to many basic and intermediate programming topics. Full text online and downloads: HTML, PDF, PS, LaTeX. [Free, Green Tea Press]",http://greenteapress.com/thinkpython/
An Introduction to Python ,"By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161769. Printed edition of official tutorial, for v2.x, from Python.org. [Network Theory, online]",http://www.network-theory.co.uk/python/intro/
Making Use of Python ,"By Rashi Gupta; John Wiley and Sons, 2002, ISBN 0471219754. Covers language basics, use for CGI scripting, GUI development, network programming; shows why it is one of more sophisticated of popular scripting languages. [Wiley]",http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471219754.html
Practical Python ,"By Magnus Lie Hetland; Apress LP, 2002, ISBN 1590590066. Readable guide to ideas most vital to new users, from basics common to high level languages, to more specific aspects, to a series of 10 ever more complex programs. [Apress]",http://hetland.org/writing/practical-python/
Pro Python System Administration ,"By Rytis Sileika, ISBN13: 978-1-4302-2605-5, Uses real-world system administration examples like manage devices with SNMP and SOAP, build a distributed monitoring system, manage web applications and parse complex log files, monitor and manage MySQL databases.",http://sysadminpy.com/
Programming in Python 3 (Second Edition) ,A Complete Introduction to the Python 3.,http://www.qtrac.eu/py3book.html
Python 2.1 Bible ,"By Dave Brueck, Stephen Tanner; John Wiley and Sons, 2001, ISBN 0764548077. Full coverage, clear explanations, hands-on examples, full language reference; shows step by step how to use components, assemble them, form full-featured programs. [John Wiley and Sons]",http://www.wiley.com/WileyCDA/WileyTitle/productCd-0764548077.html
Python 3 Object Oriented Programming ,"A step-by-step tutorial for OOP in Python 3, including discussion and examples of abstraction, encapsulation, information hiding, and raise, handle, define, and manipulate exceptions.",https://www.packtpub.com/python-3-object-oriented-programming/book
Python Language Reference Manual ,"By Guido van Rossum, Fred L. Drake, Jr.; Network Theory Ltd., 2003, ISBN 0954161785. Printed edition of official language reference, for v2.x, from Python.org, describes syntax, built-in datatypes. [Network Theory, online]",http://www.network-theory.co.uk/python/language/
Python Programming with the Java Class Libraries: A Tutorial for Building Web and Enterprise Applications with Jython ,"By Richard Hightower; Addison-Wesley, 2002, 0201616165. Begins with Python basics, many exercises, interactive sessions. Shows programming novices concepts and practical methods. Shows programming experts Python's abilities and ways to interface with Java APIs. [publisher website]",http://www.informit.com/store/product.aspx?isbn=0201616165&redir=1
Sams Teach Yourself Python in 24 Hours ,"By Ivan Van Laningham; Sams Publishing, 2000, ISBN 0672317354. Split into 24 hands-on, 1 hour lessons; steps needed to learn topic: syntax, language features, OO design and programming, GUIs (Tkinter), system administration, CGI. [Sams Publishing]",http://www.informit.com/store/product.aspx?isbn=0672317354
Text Processing in Python ,"By David Mertz; Addison Wesley. Book in progress, full text, ASCII format. Asks for feedback. [author website, Gnosis Software, Inc.]",http://gnosis.cx/TPiP/
XML Processing with Python ,"By Sean McGrath; Prentice Hall PTR, 2000, ISBN 0130211192, has CD-ROM. Methods to build XML applications fast, Python tutorial, DOM and SAX, new Pyxie open source XML processing library. [Prentice Hall PTR]",http://www.informit.com/store/product.aspx?isbn=0130211192
Hap Python Remote Debugger ,A remote debugger and IDE that can also be used for local debugging.,http://hapdebugger.sourceforge.net/
PyCrust - The Flakiest Python Shell ,"An interactive, graphical Python shell written in Python using wxPython.",http://sourceforge.net/projects/pycrust/
Pymerase ,"A tool intended to generate a python object model, relational database, and an object-relational model connecting the two using UML or XML. However, it has been extended to also output GUI widgets and can be easily extended to output whatever else you might like. [Open source, MIT License]",http://pymerase.sourceforge.net/
PyReverse ,"A set of tools for reverse engineering Python code, including creation of files readable by ArgoUML. Project information, downloads, and bug-track details. [Open Source, GPL]",http://www.logilab.org/2560/
Tixapps Applications Framework ,"Tixapps applications are a suite of development applications that run with  Tk/Tcl or Python, using the Tix widget set. [Open Source, BSD-like]",http://tix.sourceforge.net/Tixapps/
Winpdb ,"An advanced python debugger, with support for smart breakpoints, multiple threads, namespace modification, embedded debugging and encrypted communication.",http://winpdb.org/
CPython ,"The original implementation of Python, written in C.",https://www.python.org/download/
IronPython ,A fast Python implementation for .NET and Mono.,http://www.codeplex.com/wikipage?ProjectName=IronPython
Jython ,A 100 % Pure Java implementation of the Python language.,http://sourceforge.net/projects/jython/
Python for .NET ,"Package gives nearly seamless integration with .NET Common Language Runtime: CLR. Strong scripting tool, allows scripting or building full programs in Python, using .NET services and components coded in any language targeting CLR: Managed C++, C#, VB, JScript.",http://pythonnet.sourceforge.net/
Stackless Python ,"An experimental implementation that supports continuations, generators, microthreads, and coroutines.",http://www.stackless.com/
